,,,
POINTS ACTIVITY REPORT,,,
,,,
Period,01-10-2025 to 18-11-2025,,
,,,
No of Register users,only in KD,Only in KP,Total
Opening Balance,3,5,8
New Registration during the period,1,2,3
Closing Balance,4,7,11
,,,
Transaction,Khedmah Delivery,Khedmah Pay,
,,,
Points Earning,,,
No of Users,"10,655","56,369",
No of transaction,"22,985","116,293",
Total Points Earned,"1,281,620","7,860,864","9,142,484"
Total Promotion Points,,,10
Points Redeemed,,,
No of Users,"1,076","1,223",
No of transaction,"2,169","1,756",
Total Points Redeemed,"266,990","275,530","542,520"
Total Points Expired,,,5
Total Points Adjusted/Withdrawal,,,7
Net Movement,,,"8,599,962"
Opening Balance,,,1000000
Closing Balance,,,"9,599,962"
